SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
1,35,11,6,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,8751.0,2,2,2,2,2,2,3,2.0
1,45,12,7,1,3.0,1.0,1,1.0,2.0,1.0,,4.0,8749.0,2,2,2,2,2,2,3,2.0
2,29,12,8,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,8749.0,2,2,2,2,2,2,1,2.0
1,52,10,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8749.0,2,2,2,2,2,2,1,2.0
1,54,12,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,8749.0,2,2,2,2,2,2,1,2.0
1,33,6,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8749.0,2,2,2,2,2,2,1,2.0
1,48,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8749.0,2,2,2,2,2,2,3,2.0
2,46,11,6,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,8717.0,2,2,2,2,2,2,3,2.0
1,60,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,8668.0,2,2,2,2,2,2,1,2.0
2,48,8,7,1,2.0,2.0,1,3.0,1.0,2.0,2.0,,8637.0,2,2,2,2,2,2,5,2.0
2,35,6,7,1,3.0,2.0,1,2.0,1.0,1.0,2.0,1.0,8610.0,2,2,2,2,2,2,5,2.0
2,42,11,6,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,8533.0,2,2,2,2,2,2,3,2.0
1,34,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,8500.0,2,2,2,2,2,2,1,2.0
1,46,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,8500.0,2,2,2,2,2,2,1,2.0
1,38,12,7,1,3.0,2.0,1,1.0,4.0,1.0,,4.0,8270.0,2,2,2,2,2,2,2,2.0
1,39,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,8233.0,2,2,2,2,2,2,1,2.0
1,44,9,7,1,2.0,2.0,1,2.0,1.0,2.0,1.0,,8200.0,2,2,2,2,2,2,5,2.0
1,39,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,8167.0,2,2,2,2,2,2,1,2.0
1,32,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,8126.0,2,2,2,2,2,2,3,2.0
1,37,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,8126.0,2,2,2,2,2,2,1,2.0
1,50,6,1,1,1.0,2.0,1,3.0,1.0,2.0,2.0,,8085.0,2,2,2,2,2,2,5,2.0
