ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mam25
2025,04,28454,1,0071,1,1,202504284541007111,1,1,1,1,2, ,2,49,1,17,6,1975,1, , , , , , , , , , , , , , ,1, ,3221,8610,3,2, , ,5,998,0,6,6,6,6,6,6,36, ,36,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,880.865340863328
2025,04,18323,1,0088,1,1,202401183231008811,1,1,1,1,2, ,1,38,1,24,11,1986,1, , , , , , , , , , , , , , ,1, ,4321,5229,3,5,1, ,5,501,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,497.344413655076
2025,04,23419,1,0088,1,1,202404234191008814,1,2,2,1,2, ,1,62,3,12,5,1962,1, , , , , , , , , , , , , , ,2, ,9621,4659,3,5,1, ,1,12,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,4,2400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2400, , , , , , , ,600,2400,2400,3000,1,914.530440056447
2025,04,22051,1,0022,1,1,202401220511002211,1,1,1,1,2, ,2,34,1,10,1,1991,1, , , , , , , , , , , , , , ,1, ,4417,8412,3,2, , ,5,9998,0,9,9,9,9,9,0,45, ,45,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,1419.97016485886
2025,04,47380,1,0052,1,1,202404473801005211,1,1,1,1,2, ,1,51,1,30,11,1973,1, , , , , , , , , , , , , , ,1, ,7111,4100,1, ,3,2,1,4,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,5,2,2,2,2,2,2,10,1,1, , ,3000, , , , , , ,3000,3000,3000,1,789.414067951831
2025,04,25396,1,0141,1,1,202404253961014111,1,1,1,1,2, ,1,34,1,3,10,1990,1, , , , , , , , , , , , , , ,1, ,3314,9311,1, ,1, ,1,4,6,11,11,1,11,11,6,57, ,57,1, ,2, ,2,2, , , ,3000, , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,1249.79073173075
2025,04,18491,2,0042,1,1,202504184912004211,1,1,1,1,2, ,1,79,1,23,8,1945,1, , , , , , , , , , , , , , ,1, ,3314,3315,1, ,1, ,1,4,0,3,6,5,8,8,8,38, ,38,1, ,2, ,2,2, , , ,3000, , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,284.947070555776
2025,04,18358,1,0103,1,1,202401183581010314,1,4,3,1,2, ,1,35,4,14,9,1989,1, , , , , , , , , , , , , , ,4, ,3513,8411,3,2, , ,5,501,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,501.138538066223
2025,04,2692201,1,0028,1,1,20250426922011002811,1,1,1,1,2, ,2,55,1,24,7,1969,1, , , , , , , , , , , , , , ,1, ,2161,7410,2, ,2,1,1,1,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2,2, ,1,2,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,681.939457676501
2025,04,19275,1,0075,1,1,202504192751007511,1,1,1,1,2, ,1,38,2,10,9,1986,1, , , , , , , , , , , , , , ,1, ,2143,7120,3,5,1, ,2,50,0,8,8,8,8,8,0,40, ,40,1, ,1,1,1,2,4,3000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,1,1,3000, , , , , , , , ,3000,3000,3000,1,1034.59983008232
